unitid,year,instatetuition,costs,faculty,white_cohortsize
100654,1991,1298,53,223,11
100654,1992,1600,52,267,5
100654,1993,1600,50,262,7
100654,1994,1887,61,273,9
100654,1995,2022,68,298,18
100654,1996,2312,66,311,17
100654,1997,2420,72,306,22
100654,1998,2332,78,237,25
100654,1999,1932,75,243,26
100654,2000,2400,79,273,26
100654,2001,2400,96,304,18
100654,2002,2520,90,284,18
100654,2003,2832,107,294,17
100654,2004,3120,110,307,10
100654,2005,3120,118,319,13
100654,2006,3120,123,319,12
100654,2007,3432,126,311,9
100654,2008,3432,132,309,7
100654,2009,3948,122,311,24
100654,2010,4872,138,276,15
100663,1991,2050,712,709,600
100663,1992,2238,812,786,576
100663,1993,2358,910,802,613
100663,1994,2511,887,721,605
100663,1995,2604,937,707,602
100663,1996,2700,1024,680,568
100663,1997,2850,1075,690,631
100663,1998,3060,1188,691,611
100663,1999,2730,1180,708,667
100663,2000,2820,1215,564,653
100663,2001,2970,1334,421,648
100663,2002,3150,1335,804,775
100663,2003,3480,1440,833,781
100663,2004,3840,1571,810,846
100663,2005,3960,1604,824,875
100663,2006,3960,1707,824,905
100663,2007,3384,1824,852,835
100663,2008,3792,2213,849,790
100663,2009,4224,2223,832,932
100663,2010,5806,2338,861,921
100751,1991,1936,237,818,2174
100751,1992,2068,237,773,2075
100751,1993,2172,257,762,2148
100751,1994,2260,280,766,2130
100751,1995,2374,294,770,2133
100751,1996,2470,295,738,1777
100751,1997,2594,306,750,2111
100751,1998,2684,320,781,2088
100751,1999,2872,341,795,2216
100751,2000,3014,357,787,2357
100751,2001,3292,380,779,2047
100751,2002,3556,372,794,2230
100751,2003,4134,392,810,2584
100751,2004,4630,404,800,2873
100751,2005,4864,449,813,3048
100751,2006,5278,496,850,3609
100751,2007,5700,565,904,3890
100751,2008,6400,629,1067,4280
100751,2009,7000,658,1106,4221
100751,2010,7900,760,1175,4332
100858,1991,1596,306,1128,2704
100858,1992,1755,304,1098,2864
100858,1993,1950,321,1109,2703
100858,1994,2100,339,1172,2828
100858,1995,2250,368,1131,3175
100858,1996,2355,372,1145,2985
100858,1997,2565,376,1145,2879
100858,1998,2760,393,1139,3278
100858,1999,2895,425,1146,3253
100858,2000,3050,488,1130,3459
100858,2001,3260,506,1115,3258
100858,2002,3650,481,1142,3596
100858,2003,4230,526,1171,3174
100858,2004,4610,552,1177,3032
100858,2005,4800,573,1176,3543
100858,2006,5000,580,1139,3328
100858,2007,5250,642,1132,3414
100858,2008,5880,703,1176,3493
100858,2009,6240,722,1184,3363
100858,2010,7008,717,1196,3523
101435,1991,6400,9,44,158
101435,1992,7140,10,43,135
101435,1993,7540,9,44,107
101435,1994,8180,9,44,154
101435,1995,8645,10,41,146
101435,1996,10140,12,43,140
101435,1997,10600,9,43,177
101435,1998,11010,10,44,158
101435,1999,10500,11,47,144
101435,2000,11000,12,44,134
101435,2001,11500,12,42,128
101435,2002,13800,12,41,146
101435,2003,14560,13,32,171
101435,2004,15250,13,32,160
101435,2005,15250,13,33,159
101435,2006,15990,14,34,172
101435,2007,17570,16,42,201
101435,2008,19320,17,44,196
101435,2009,19990,19,45,169
101435,2010,18512,18,47,184
101480,1991,1420,44,274,829
101480,1992,1550,44,274,847
101480,1993,1680,44,272,648
101480,1994,1790,48,272,600
101480,1995,1840,51,268,618
101480,1996,1940,52,255,613
101480,1997,2040,53,261,582
101480,1998,2140,54,262,573
101480,1999,2440,59,262,592
101480,2000,2640,64,263,587
101480,2001,2940,68,265,569
101480,2002,3240,73,289,748
101480,2003,3540,78,294,686
101480,2004,4040,79,300,657
101480,2005,4040,88,305,673
101480,2006,4056,94,319,631
101480,2007,4056,102,321,633
101480,2008,4560,106,322,693
101480,2009,5970,107,322,649
101480,2010,6780,111,326,755
101675,1991,3760,6,33,0
101675,1992,3800,7,34,2
101675,1993,3800,7,33,2
101675,1994,4000,9,40,NA
101675,1995,4350,10,41,0
101675,1996,4500,11,43,0
101675,1997,4500,13,45,0
101675,1998,4500,15,47,2
101675,1999,4280,16,59,1
101675,2000,4408,18,62,0
101675,2001,4408,19,66,4
101675,2002,4628,21,87,1
101675,2003,5090,20,111,0
101675,2004,5250,17,89,2
101675,2005,5408,18,92,1
101675,2006,5950,19,93,3
101675,2007,6545,23,94,10
101675,2008,7396,22,102,7
101675,2009,8506,24,102,3
101675,2010,9186,25,97,2
101879,1991,1296,28,190,664
101879,1992,1460,30,196,490
101879,1993,1586,33,200,567
101879,1994,1724,34,212,617
101879,1995,1910,37,197,638
101879,1996,1998,37,200,650
101879,1997,2166,38,193,648
101879,1998,2256,41,181,648
101879,1999,2232,43,203,650
101879,2000,2328,46,199,677
101879,2001,2544,48,196,636
101879,2002,2784,47,198,586
101879,2003,3048,50,199,597
101879,2004,3336,52,200,668
101879,2005,3432,58,208,678
101879,2006,3528,64,222,622
101879,2007,3288,72,231,654
101879,2008,4590,83,242,639
101879,2009,4008,83,236,775
101879,2010,4440,83,238,744
102049,1991,6540,48,188,536
102049,1992,7064,52,203,621
102049,1993,7770,58,215,648
102049,1994,8236,60,218,556
102049,1995,8648,61,233,617
102049,1996,9070,86,236,606
102049,1997,9432,76,240,708
102049,1998,9904,72,245,594
102049,1999,10300,73,243,627
102049,2000,10738,78,250,607
102049,2001,11490,78,257,597
102049,2002,12294,85,260,618
102049,2003,13154,86,264,615
102049,2004,13944,92,267,621
102049,2005,14642,98,278,634
102049,2006,16000,108,280,591
102049,2007,17920,121,280,651
102049,2008,19300,117,290,616
102049,2009,20200,121,282,670
102049,2010,21722,123,294,616
102094,1991,2103,266,430,1030
102094,1992,2295,290,418,978
102094,1993,2295,350,434,898
102094,1994,2397,360,429,943
102094,1995,2541,367,447,985
102094,1996,2538,373,442,883
102094,1997,2673,394,432,903
102094,1998,2673,416,435,799
102094,1999,2670,409,442,668
102094,2000,2670,452,436,810
102094,2001,2910,449,430,850
102094,2002,3090,477,441,777
102094,2003,3390,496,475,851
102094,2004,3810,436,483,882
102094,2005,3810,450,499,836
102094,2006,3810,469,516,941
102094,2007,4020,493,527,991
